prospect_tier,prospect_score,business_name,google_category,phone,address,city,website_url,has_website,website_structure_type,website_domain_type,needs_better_web_presence,contact_strength,review_signal,review_count,rating,pitch_fit,good_visual_potential,residential_signal,listing_url,matched_keywords,times_found,website_title,website_has_whatsapp_button,website_has_cta
top,24,"Cristales y Canceles ""El Espejito""",Ventana de aluminio,844 530 5905,"25050, C. Prol. Urdiñola 1115, La Madrid, 25050 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,high,50,5.0,excellent,True,True,https://www.google.com/maps/place/Cristales+y+Canceles+%22El+Espejito%22/data=!4m7!3m6!1s0x8688731401ef126b:0x217ed93ba806cd07!8m2!3d25.4037193!4d-100.9896977!16s%2Fg%2F11sm_0mkvy!19sChIJaxLvARRziIYRB80GqDvZfiE?authuser=0&hl=es-419&rclk=1,cancelería;vidrio templado;canceles de baño;vidriería,4,,False,False
top,24,TEMPLADOS SALTILLO,5.0,844 140 1391,"Carlos Santana, C. Pablo L. Sidar Esquina, 25000 Saltillo, Coah.",Saltillo,https://www.facebook.com/share/1Co1dLnNcc/,True,unknown,facebook_only,True,strong,high,50,5.0,excellent,True,False,https://www.google.com/maps/place/TEMPLADOS+SALTILLO/data=!4m7!3m6!1s0x8688732de1cbb215:0x559f738d2dbbeaf!8m2!3d25.4360453!4d-101.0064652!16s%2Fg%2F11y91cm7wz!19sChIJFbLL4S1ziIYRr77b0jj3WQU?authuser=0&hl=es-419&rclk=1,vidrio templado,1,,False,False
top,24,Vidrios y Aluminios Danna,Tienda de accesorios para ventanas,844 393 2866,"Alameda Zaragoza 272, Saltillo 2000, 25115 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,high,50,5.0,excellent,True,True,https://www.google.com/maps/place/Vidrios+y+Aluminios+Danna/data=!4m7!3m6!1s0x86886d0a11ccebc1:0xe70debe8fd345c6b!8m2!3d25.4640613!4d-101.025161!16s%2Fg%2F11bx898pq5!19sChIJwevMEQptiIYRa1w0_ejrDec?authuser=0&hl=es-419&rclk=1,ventanas de aluminio,1,,False,False
top,24,Aluminio y Vidrios Padilla,Tienda de cristales y espejos,844 292 1250,"C. Juan Navarro 1009, Vista Hermosa, 25010 Saltillo, Coah.",Saltillo,https://www.facebook.com/profile.php?id=100054201533913&mibextid=LQQJ4d,True,unknown,facebook_only,True,strong,high,50,5.0,excellent,True,True,https://www.google.com/maps/place/Aluminio+y+Vidrios+Padilla/data=!4m7!3m6!1s0x86880d6b649f8035:0x4b9bd927c76bb336!8m2!3d25.4201594!4d-100.9529032!16s%2Fg%2F11bx89hfvr!19sChIJNYCfZGsNiIYRNrNrxyfZm0s?authuser=0&hl=es-419&rclk=1,aluminio y vidrio,1,,False,False
top,24,Centro Vidriero,Servicio de reparación de cristales,844 414 2384,"Calle Gral. Ramón Corona 697, Zona Centro, 25000 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,high,50,5.0,excellent,True,False,https://www.google.com/maps/place/Centro+Vidriero/data=!4m7!3m6!1s0x868872a23a2f3b25:0x6b73e854b01fc463!8m2!3d25.4306808!4d-101.001401!16s%2Fg%2F11tznmsqj!19sChIJJTsvOqJyiIYRY8QfsFToc2s?authuser=0&hl=es-419&rclk=1,vidriería,1,,False,False
top,24,Vidrios Y Templados JYC Saltillo,Proveedor de aluminio,844 219 6654,"Boulevard Herradura 342, Blvd. La Herradura 342 esquina, La Herradura, 25027 Saltillo, Coah.",Saltillo,https://www.facebook.com/share/1LFkKB8dub/,True,unknown,facebook_only,True,strong,high,50,5.0,excellent,True,False,https://www.google.com/maps/place/Vidrios+Y+Templados+JYC+Saltillo/data=!4m7!3m6!1s0x86880d73d5e820d7:0x7661659f9155646f!8m2!3d25.4040076!4d-100.9778212!16s%2Fg%2F11yybr5g4x!19sChIJ1yDo1XMNiIYRb2RVkZ9lYXY?authuser=0&hl=es-419&rclk=1,vidriería,1,,False,False
top,23,"Vidrio y Aluminio ""Semidoble""",Tienda de cristales,844 329 1641,"Blvd. Misión Sta. Lucía 1454, Sin Nombre de Col 13, 25016 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,49,4.9,excellent,True,False,https://www.google.com/maps/place/Vidrio+y+Aluminio+%22Semidoble%22/data=!4m7!3m6!1s0x86880d8fff65c21b:0x15f458019d0f0215!8m2!3d25.4254565!4d-100.9028401!16s%2Fg%2F11pw3v1wg0!19sChIJG8Jl_48NiIYRFQIPnQFY9BU?authuser=0&hl=es-419&rclk=1,vidrio templado;aluminio y vidrio,2,,False,False
top,23,“PADILLA” ALUMINIO Y VIDRIO,Urbanización,844 292 1250,"Av. Presidente Cárdenas 1180, Zona Centro, 25000 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,49,4.9,excellent,True,False,https://www.google.com/maps/place/%E2%80%9CPADILLA%E2%80%9D+ALUMINIO+Y+VIDRIO/data=!4m7!3m6!1s0x8688731f983d4bdf:0xf21d44af21c01424!8m2!3d25.4258754!4d-100.9868162!16s%2Fg%2F11kj_3509g!19sChIJ30s9mB9ziIYRJBTAIa9EHfI?authuser=0&hl=es-419&rclk=1,aluminio y vidrio,1,,False,False
top,23,Vitrales y Vidrios,Tienda de cristales y espejos,844 103 3340,"Blvd. Isidro López Zertuche 899, Virreyes Popular, 25220 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,49,4.9,excellent,True,True,https://www.google.com/maps/place/Vitrales+y+Vidrios/data=!4m7!3m6!1s0x86886d45ff4226ff:0xb0767eb809cebbbb!8m2!3d25.4629111!4d-100.9912343!16s%2Fg%2F11ckwb9j9p!19sChIJ_yZC_0VtiIYRu7vOCbh-drA?authuser=0&hl=es-419&rclk=1,vidriería,1,,False,False
top,23,San Angel Vidrio Y Aluminio,Servicio de instalación de ventanas,844 886 2739,"Blvrd Saltillo 2105, Girasol Amp, 25087 Saltillo, Coah.",Saltillo,https://www.facebook.com/sanangelvidrioyaluminio,True,unknown,facebook_only,True,strong,medium,48,4.8,excellent,True,True,https://www.google.com/maps/place/San+Angel+Vidrio+Y+Aluminio/data=!4m7!3m6!1s0x868872fcdbd89d8f:0x956213f425eb151!8m2!3d25.3929884!4d-101.015561!16s%2Fg%2F11bxc6d1mb!19sChIJj53Y2_xyiIYRUbFeQj8hVgk?authuser=0&hl=es-419&rclk=1,vidrio templado;ventanas de aluminio;aluminio y vidrio,3,,False,False
